timestamp,open,high,low,close,volume,time_to_expiration_days
2024-11-01,25.25,26.08,24.6,25.15,982,140
2024-11-04,25.95,27.06,24.85,24.85,1338,137
2024-11-05,26.1,27.7,26.1,27.3,274,136
2024-11-06,29.7,31.77,29.0,31.08,1430,135
2024-11-07,32.0,33.25,32.0,33.2,288,134
2024-11-08,33.25,33.75,31.27,31.96,258,133
2024-11-11,32.31,32.31,29.47,30.26,292,130
2024-11-12,31.35,33.55,31.35,32.52,1802,129
2024-11-13,32.75,32.75,31.45,31.76,992,128
2024-11-14,31.11,33.22,30.95,31.0,1078,127
2024-11-15,29.95,29.95,27.26,28.4,434,126
2024-11-18,25.91,27.15,25.09,26.35,1192,123
2024-11-19,28.0,31.26,27.5,31.25,936,122
2024-11-20,31.6,31.6,28.55,30.3,1306,121
2024-11-21,32.0,34.0,26.85,30.95,2740,120
2024-11-22,29.75,29.75,26.55,26.88,932,119
2024-11-25,26.72,26.72,22.32,22.32,2154,116
2024-11-26,23.34,24.25,21.67,22.34,592,115
2024-11-27,20.92,20.92,18.82,20.55,2132,114
2024-11-29,22.01,23.67,21.85,23.1,1616,112
2024-12-02,22.8,24.3,22.55,22.87,786,109
2024-12-03,23.75,24.3,22.6,23.95,688,108
2024-12-04,25.36,28.12,24.15,27.69,2358,107
2024-12-05,27.37,28.45,26.76,27.55,486,106
2024-12-06,26.87,27.35,24.91,25.4,414,105
2024-12-09,22.5,23.55,21.72,22.75,400,102
2024-12-10,23.44,24.85,19.5,20.15,456,101
2024-12-11,23.5,23.65,20.21,23.25,294,100
2024-12-12,21.5,22.15,20.67,21.75,382,99
2024-12-13,22.7,22.7,18.5,19.74,4420,98
2024-12-16,18.7,18.8,17.25,18.35,1432,95
2024-12-17,16.33,18.15,15.4,16.65,5036,94
2024-12-18,19.25,21.29,16.5,17.1,1962,93
2024-12-19,18.35,20.15,17.55,18.4,2066,92
2024-12-20,17.4,20.4,16.75,18.95,1364,91
2024-12-23,21.35,23.45,21.11,23.0,960,88
2024-12-24,23.95,24.55,23.05,23.05,660,87
2024-12-26,22.8,23.3,21.7,23.25,270,85
2024-12-27,22.4,22.4,19.75,21.05,920,84
2024-12-30,19.65,23.0,19.65,21.59,500,81
2024-12-31,21.45,21.45,18.7,18.93,1442,80
2025-01-02,20.5,21.9,19.35,21.6,1024,78
2025-01-03,22.72,26.4,22.72,26.18,4118,77
2025-01-06,29.36,32.5,29.18,30.2,1678,74
2025-01-07,32.98,32.98,23.0,23.25,1100,73
2025-01-08,25.0,25.25,20.98,22.35,1826,72
2025-01-10,20.49,20.49,18.42,18.91,760,70
2025-01-13,15.17,17.0,15.1,17.0,6376,67
2025-01-14,18.6,18.6,14.95,15.5,3804,66
2025-01-15,16.7,18.28,15.4,18.28,1982,65
2025-01-16,19.55,19.8,16.2,16.2,1400,64
2025-01-17,18.12,19.3,17.8,18.81,354,63
2025-01-21,19.35,21.6,18.16,20.9,532,59
2025-01-22,23.55,26.51,23.53,26.07,6976,58
2025-01-23,24.0,25.5,23.39,25.06,674,57
2025-01-24,26.76,26.76,21.7,21.99,698,56
2025-01-27,11.75,14.66,8.4,8.95,32133,53
2025-01-28,10.15,13.47,7.85,13.15,22765,52
2025-01-29,11.7,12.25,9.45,12.1,72248,51
2025-01-30,11.7,13.1,9.75,12.76,66446,50
2025-01-31,12.35,13.9,9.95,10.15,84895,49
2025-02-03,8.0,9.05,7.2,8.2,13094,46
2025-02-04,8.35,10.05,8.15,8.35,8764,45
2025-02-05,9.65,11.1,9.22,11.1,19594,44
2025-02-06,12.3,12.76,11.15,12.76,15087,43
2025-02-07,12.95,13.65,12.18,13.55,39854,42
2025-02-10,13.5,16.25,13.5,15.25,15002,39
2025-02-11,14.58,15.7,13.72,14.5,25198,38
2025-02-12,12.6,14.14,12.25,13.43,3618,37
2025-02-13,13.5,16.9,13.5,16.1,7094,36
2025-02-14,16.8,18.7,16.6,18.45,3534,35
2025-02-18,20.15,21.95,17.5,18.51,6998,31
2025-02-19,18.45,19.85,16.75,18.1,42342,30
2025-02-20,18.95,19.13,16.6,18.7,3072,29
2025-02-21,18.6,19.4,14.81,14.9,6526,28
2025-02-24,16.55,17.65,12.6,12.65,4074,25
2025-02-25,12.3,12.35,9.7,10.75,10568,24
2025-02-26,12.27,14.45,11.5,12.85,12413,23
2025-02-27,13.57,13.57,5.3,5.37,31791,22
2025-02-28,4.55,7.15,3.83,7.05,28598,21
2025-03-03,6.25,6.25,2.64,2.95,46797,18
2025-03-04,2.16,4.4,2.09,3.53,31752,17
2025-03-05,4.0,4.1,2.93,3.35,24370,16
2025-03-06,2.41,2.61,1.55,1.59,50355,15
2025-03-07,1.58,1.83,1.0,1.72,46420,14
2025-03-10,1.27,1.5,0.73,0.92,40152,11
2025-03-11,0.92,1.39,0.68,0.89,94385,10
2025-03-12,1.55,2.25,1.39,1.74,63403,9
2025-03-13,1.99,2.08,1.06,1.34,79691,8
2025-03-14,1.87,2.68,1.73,2.54,183915,7
2025-03-17,2.87,2.93,1.21,1.46,179817,4
2025-03-18,1.1,1.26,0.31,0.32,187253,3
2025-03-19,0.42,0.5,0.11,0.11,185084,2
2025-03-20,0.08,0.2,0.03,0.04,129428,1
2025-03-21,0.01,0.03,0.01,0.01,55419,0
