timestamp,open,high,low,close,volume,time_to_expiration_days
2024-11-01,7.82,8.05,7.82,8.05,48,140
2024-11-04,7.8,8.08,7.15,7.65,2848,137
2024-11-05,7.05,7.05,6.57,6.75,428,136
2024-11-06,5.8,5.83,5.1,5.25,500,135
2024-11-07,5.0,5.0,4.5,4.5,4626,134
2024-11-08,4.35,4.67,4.35,4.56,1522,133
2024-11-11,4.55,5.26,4.55,4.85,106,130
2024-11-12,4.55,4.72,4.42,4.45,1074,129
2024-11-13,4.33,4.75,4.33,4.75,114,128
2024-11-14,4.75,4.81,4.3,4.6,1912,127
2024-11-15,4.9,6.12,4.9,5.84,1004,126
2024-11-18,6.25,6.9,5.4,5.4,1380,123
2024-11-19,5.5,5.5,4.24,4.24,2162,122
2024-11-20,4.35,5.1,4.35,4.47,924,121
2024-11-21,3.42,5.15,3.21,4.25,3104,120
2024-11-22,4.29,5.0,4.29,4.85,1816,119
2024-11-25,4.8,5.56,4.8,5.56,4006,116
2024-11-26,4.95,5.25,4.85,5.0,496,115
2024-11-27,5.25,5.92,5.22,5.22,5434,114
2024-11-29,4.83,4.87,4.3,4.37,2972,112
2024-12-02,4.4,4.45,4.15,4.35,194,109
2024-12-03,4.25,4.29,3.85,3.85,738,108
2024-12-04,3.65,3.7,3.03,3.03,302,107
2024-12-05,3.05,3.21,2.91,3.14,520,106
2024-12-06,3.15,3.6,3.02,3.5,310,105
2024-12-09,4.1,4.35,3.87,4.11,1066,102
2024-12-10,4.05,5.1,3.55,4.85,530,101
2024-12-11,3.82,4.75,3.82,3.85,725,100
2024-12-12,4.31,4.51,4.14,4.25,2198,99
2024-12-13,4.0,5.45,4.0,5.15,414,98
2024-12-16,5.09,6.1,5.09,5.75,2046,95
2024-12-17,6.47,7.3,6.04,6.1,3292,94
2024-12-18,5.25,7.0,4.63,6.65,996,93
2024-12-19,6.17,7.05,6.02,6.88,802,92
2024-12-20,7.25,7.52,5.25,5.5,614,91
2024-12-23,4.75,5.15,4.16,4.18,4964,88
2024-12-24,4.06,4.1,3.57,3.75,432,87
2024-12-26,3.76,4.2,3.7,3.92,332,85
2024-12-27,4.24,5.17,4.2,4.63,622,84
2024-12-30,5.1,5.1,3.88,4.25,1426,81
2024-12-31,4.55,5.05,4.44,4.9,628,80
2025-01-02,4.25,4.8,3.95,4.3,556,78
2025-01-03,3.79,3.79,3.05,3.24,2186,77
2025-01-06,2.64,2.68,2.37,2.61,1616,74
2025-01-07,2.19,3.73,2.18,3.65,8756,73
2025-01-08,3.32,3.78,3.1,3.4,22828,72
2025-01-10,3.8,4.6,3.73,3.95,2194,70
2025-01-13,5.4,5.5,4.2,4.25,3296,67
2025-01-14,3.69,4.95,3.67,4.5,3040,66
2025-01-15,3.91,4.25,3.05,3.09,1964,65
2025-01-16,2.68,3.43,2.68,3.35,3202,64
2025-01-17,2.88,2.93,2.44,2.55,3184,63
2025-01-21,2.25,2.43,1.81,1.92,4549,59
2025-01-22,1.55,1.78,1.34,1.4,4288,58
2025-01-23,1.62,1.63,1.28,1.28,1600,57
2025-01-24,1.21,1.89,1.16,1.77,2190,56
2025-01-27,6.05,10.21,5.0,9.21,18789,53
2025-01-28,7.7,10.0,4.69,4.7,30545,52
2025-01-29,5.29,8.75,5.2,7.95,24916,51
2025-01-30,7.55,10.5,6.95,8.0,21206,50
2025-01-31,8.0,9.7,6.06,9.21,7102,49
2025-02-03,11.66,12.5,9.29,10.2,57512,46
2025-02-04,9.91,10.0,8.05,8.52,3937,45
2025-02-05,7.2,7.5,5.9,5.9,7324,44
2025-02-06,5.15,5.75,4.45,4.49,10186,43
2025-02-07,4.28,4.9,4.0,4.37,4722,42
2025-02-10,4.25,4.25,2.75,2.96,4238,39
2025-02-11,3.18,3.54,2.8,3.0,12315,38
2025-02-12,3.55,3.71,3.07,3.32,5982,37
2025-02-13,3.15,3.15,2.25,2.5,8350,36
2025-02-14,2.33,2.37,1.83,1.86,10962,35
2025-02-18,1.57,1.89,1.37,1.72,8856,31
2025-02-19,1.67,1.86,1.36,1.54,2400,30
2025-02-20,1.45,1.91,1.37,1.37,3753,29
2025-02-21,1.39,2.51,1.26,2.47,6706,28
2025-02-24,1.91,3.62,1.63,3.51,4824,25
2025-02-25,3.6,5.45,3.49,4.71,9694,24
2025-02-26,4.07,4.07,2.63,3.0,12738,23
2025-02-27,1.31,4.9,1.24,4.9,42072,22
2025-02-28,5.8,6.34,3.0,3.0,31957,21
2025-03-03,3.15,8.45,3.08,7.36,51121,18
2025-03-04,9.15,9.75,4.73,6.5,19563,17
2025-03-05,5.75,7.0,4.85,5.25,18868,16
2025-03-06,7.15,8.95,6.0,8.6,20865,15
2025-03-07,7.97,10.25,6.55,6.8,8522,14
2025-03-10,8.7,11.53,7.45,10.65,9954,11
2025-03-11,10.5,12.0,6.7,9.0,21885,10
2025-03-12,5.4,6.2,4.25,4.48,37345,9
2025-03-13,3.95,5.41,3.2,4.11,76050,8
2025-03-14,2.74,2.9,1.52,1.58,78953,7
2025-03-17,1.25,2.36,1.2,1.75,110719,4
2025-03-18,2.23,3.7,1.73,2.54,164182,3
2025-03-19,1.69,2.33,0.35,0.96,156456,2
2025-03-20,1.22,1.3,0.18,0.25,140721,1
2025-03-21,0.42,0.96,0.01,0.01,250859,0
